lon,lat,场站名称,充电车位数
113.91175894129518,22.720977564890426,MA5DT8Q54,27
113.91175894129518,22.720977564890426,MA5DT8Q54,38
113.91208295059165,22.720790400178338,MA5DT8Q54,4
113.89539597543389,22.713830313117633,MA5DT8Q54,4
114.10103039202997,22.563975135626823,MA5DT8Q54,4
114.23784696604912,22.587562551250585,MA5DT8Q54,29
114.23600899058975,22.591099550771926,MA5DT8Q54,5
114.24873623823925,22.59115080285183,MA01H3BQ1,10
114.0440444570217,22.673707954530165,MA5DT8Q54,21
114.31003340273496,22.788231610022954,MA5DT8Q54,4
114.21340561687497,22.731940087469486,MA5DT8Q54,4
114.21340561687497,22.731940087469486,MA5DT8Q54,14
113.89653018950798,22.80247772156201,MA5DT8Q54,4
114.05875922301813,22.676885533910365,MA5DT8Q54,4
